lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
238,1,107.0,9,20,3,4,0,0,3,0
61,0,135.9,9,18,4,1,2,0,0,0
117,0,114.3,7,7,4,3,0,0,0,0
24,1,123.5,12,4,4,2,2,0,0,1
162,1,62.0,3,8,3,5,0,0,3,1
168,2,72.25,8,12,3,3,2,0,0,1
219,0,76.67,9,4,3,2,1,0,0,1
5,0,65.0,10,20,2,2,0,0,0,1
65,4,146.1,7,8,4,4,2,0,3,1
174,0,70.0,10,10,4,1,1,0,0,0
118,0,110.0,6,6,3,2,1,0,0,1
0,0,135.0,5,24,4,1,0,0,0,0
33,0,64.0,1,25,2,1,1,0,0,1
16,1,154.4,9,18,4,3,2,0,0,0
17,0,48.0,10,16,3,2,0,0,0,1
59,1,122.4,12,29,4,3,0,0,0,1
47,0,98.1,11,22,3,1,0,0,0,1
188,0,130.0,6,15,4,2,0,0,0,0
102,1,94.5,7,26,4,2,0,3,0,0
77,1,111.72,3,22,4,5,2,0,5,1
3,0,72.5,7,11,3,1,2,1,0,1
280,1,107.0,8,12,4,2,1,0,0,0
15,1,105.0,11,19,4,1,0,0,0,1
36,1,177.77,9,24,4,5,2,0,5,1
34,1,85.5,10,7,4,3,0,0,0,1
51,1,152.1,8,22,4,2,1,0,0,1
85,1,91.48,7,13,4,4,1,0,3,1
38,1,126.77,6,17,4,5,2,0,3,0
12,0,72.0,10,4,3,0,1,0,0,1
3,3,90.0,8,23,4,0,1,0,0,1
164,0,100.0,10,2,3,2,0,0,0,1
36,0,91.0,10,13,3,3,0,1,0,1
377,1,115.0,10,14,3,2,0,1,0,0
138,1,97.33,7,3,4,2,2,0,0,0
47,0,65.0,12,16,2,1,0,0,0,1
38,1,152.1,8,10,4,1,0,0,0,1
1,0,111.0,3,15,3,3,0,1,3,1
120,1,129.81,9,11,4,5,2,0,0,1
21,1,129.0,10,2,4,1,2,3,0,1
11,0,88.5,10,23,3,2,2,0,0,1
132,2,114.75,7,13,4,4,2,0,0,1
1,0,93.0,1,26,4,1,0,0,0,1
14,0,177.0,6,20,4,1,1,0,3,0
23,1,104.0,11,25,4,2,1,0,0,1
45,1,103.95,3,17,4,2,0,0,3,0
5,1,63.4,1,24,4,1,2,0,3,1
0,1,0.0,12,9,1,1,0,0,0,1
12,2,177.0,6,20,4,0,1,0,3,1
39,1,128.99,9,27,4,4,0,0,3,0
56,0,159.3,5,3,4,2,0,0,0,0
1,1,99.0,7,20,4,1,0,3,0,1
51,1,94.5,10,11,4,0,1,0,0,1
10,1,120.35,5,29,4,0,1,0,0,1
58,0,87.3,7,8,3,1,0,0,3,1
125,1,71.0,4,18,3,2,1,0,0,1
1,1,149.0,10,28,4,2,0,3,0,1
58,1,57.6,12,13,4,4,0,3,0,1
162,0,70.0,9,17,3,3,0,0,0,1
101,0,70.03,4,18,4,3,1,0,3,0
193,0,120.0,6,20,3,2,1,0,0,0
145,2,106.71,10,28,4,5,2,0,3,0
133,1,72.25,7,13,3,4,0,0,0,1
0,0,65.0,3,2,2,1,0,0,0,1
5,1,126.0,4,20,4,3,0,0,3,1
0,4,0.0,8,4,1,1,0,0,6,1
4,0,110.0,9,11,0,1,2,0,3,1
118,2,110.0,6,6,3,5,1,0,0,1
96,0,126.9,6,4,4,1,0,0,0,0
41,1,87.54,10,14,4,4,0,0,3,1
28,2,110.0,10,28,4,2,0,3,0,1
187,1,99.45,7,11,4,5,2,0,3,0
25,0,127.67,5,21,4,1,2,0,0,0
271,0,78.3,12,3,3,1,2,0,0,1
33,0,71.53,1,31,4,5,2,0,1,1
12,0,89.0,7,20,4,1,0,3,0,0
186,0,80.75,9,2,3,2,2,0,0,1
138,1,109.8,6,29,4,3,0,0,3,0
115,0,64.75,2,27,3,6,2,0,0,0
2,0,99.0,4,21,2,1,0,0,3,0
91,2,132.3,10,20,4,3,0,0,3,0
11,2,98.0,1,17,4,0,2,0,0,1
267,0,95.0,9,30,3,2,1,0,0,0
263,0,110.0,10,21,4,2,0,0,0,0
90,0,142.2,8,7,4,2,2,0,3,1
14,2,129.0,5,23,4,0,1,3,0,1
1,2,89.0,4,17,4,0,1,3,0,1
53,1,67.5,3,12,4,1,2,3,0,1
18,1,95.48,3,17,4,1,0,0,3,1
180,1,98.1,10,10,4,0,1,3,0,1
128,2,162.0,9,6,4,4,0,0,3,1
346,0,90.0,9,13,3,2,0,1,0,1
80,1,114.9,12,27,4,3,0,0,3,1
151,0,80.0,1,19,3,3,0,0,0,1
4,2,75.0,9,27,3,1,0,0,0,1
14,1,122.96,11,7,4,5,1,0,3,1
44,0,85.0,4,23,3,1,2,0,0,1
146,0,95.0,4,24,3,0,2,0,0,0
17,1,88.0,11,17,4,1,0,3,0,1
25,1,80.08,11,22,4,3,0,0,0,1
10,0,85.0,2,13,3,2,2,0,0,1
208,2,90.95,8,29,3,2,1,0,3,1
8,0,130.0,11,5,3,1,0,0,0,1
302,0,100.0,9,16,4,2,1,0,0,0
13,0,235.94,10,7,4,3,2,0,6,0
86,1,65.0,5,20,3,2,1,0,0,1
71,1,131.4,8,26,4,2,2,0,0,1
23,1,137.65,6,1,4,4,0,0,3,1
5,1,139.0,8,27,4,1,0,3,0,0
161,0,130.0,3,25,3,2,1,1,0,0
75,0,70.0,3,17,4,3,1,0,0,0
125,2,177.3,8,20,4,1,1,0,5,1
21,1,102.0,11,1,4,4,0,0,0,0
130,1,109.8,8,24,4,2,0,0,0,1
24,0,107.1,9,26,4,1,1,3,0,0
87,1,90.9,10,30,4,0,2,0,0,0
129,0,132.3,10,10,4,5,1,0,3,0
0,0,124.0,8,21,4,2,1,0,0,0
27,0,108.0,9,30,3,2,0,0,0,1
87,0,80.75,6,11,3,2,2,0,0,1
10,0,110.0,9,30,0,1,0,0,3,0
5,0,97.0,3,6,3,0,1,0,0,1
359,0,95.0,9,16,4,2,2,0,0,0
278,0,73.95,12,23,4,5,2,0,0,0
48,0,104.0,9,11,3,1,0,1,0,1
33,3,215.55,10,3,4,1,1,0,5,1
43,2,168.3,8,5,4,2,2,0,3,1
180,0,70.0,10,16,3,1,0,0,0,0
172,1,99.45,8,12,4,4,2,0,0,1
